Bundesland,median_anzahl
Alle Orte,6017
Nordrhein-Westfalen,485.5
Bayern,291.5
Baden-Württemberg,204.5
Berlin,204
Niedersachsen,185
Hessen,121
Rheinland-Pfalz,89
Schleswig-Holstein,71
Sachsen,70
Brandenburg,54
Hamburg,53
Bremen,32.5
Sachsen-Anhalt,31.5
Saarland,31
Mecklenburg-Vorpommern,29.5
Thüringen,26.5
