OPS-Kode,Year,Altersgruppe,Wert
5-646.1,2010,unter 15,0
5-646.1,2010,15-20,7
5-646.1,2010,20-25,28
5-646.1,2010,25-30,26
5-646.1,2010,30-35,34
5-646.1,2010,35-40,34
5-646.1,2010,40-45,45
5-646.1,2010,45-50,37
5-646.1,2010,50-55,37
5-646.1,2010,55-60,6
5-646.1,2010,60 und älter,15
5-646.x,2010,Insgesamt,2
5-646.x,2010,unter 15,0
5-646.x,2010,15-20,0
5-646.x,2010,20-25,0
5-646.x,2010,25-30,1
5-646.x,2010,30-35,1
5-646.x,2010,35-40,0
5-646.x,2010,40-45,0
5-646.x,2010,45-50,0
5-646.x,2010,50-55,0
5-646.x,2010,55-60,0
5-646.x,2010,60 und älter,0
5-646.y,2010,Insgesamt,0
5-646.0,2011,Insgesamt,414
5-646.0,2011,unter 15,0
5-646.0,2011,15-20,16
5-646.0,2011,20-25,71
5-646.0,2011,25-30,79
5-646.0,2011,30-35,75
5-646.0,2011,35-40,65
5-646.0,2011,40-45,62
5-646.0,2011,45-50,30
5-646.0,2011,50-55,10
5-646.0,2011,55-60,4
5-646.0,2011,60 und älter,2
5-646.1,2011,Insgesamt,276
5-646.1,2011,unter 15,0
5-646.1,2011,15-20,12
5-646.1,2011,20-25,30
5-646.1,2011,25-30,25
5-646.1,2011,30-35,27
5-646.1,2011,35-40,27
5-646.1,2011,40-45,52
5-646.1,2011,45-50,49
5-646.1,2011,50-55,33
5-646.1,2011,55-60,15
5-646.1,2011,60 und älter,6
5-646.x,2011,Insgesamt,1
5-646.x,2011,unter 15,0
5-646.x,2011,15-20,0
5-646.x,2011,20-25,0
5-646.x,2011,25-30,0
5-646.x,2011,30-35,1
5-646.x,2011,35-40,0
5-646.x,2011,40-45,0
5-646.x,2011,45-50,0
5-646.x,2011,50-55,0
5-646.x,2011,55-60,0
5-646.x,2011,60 und älter,0
5-646.y,2011,Insgesamt,0
5-646.y,2011,unter 15,0
5-646.y,2011,15-20,0
5-646.y,2011,20-25,0
5-646.y,2011,25-30,0
5-646.y,2011,30-35,0
5-646.y,2011,35-40,0
5-646.y,2011,40-45,0
5-646.y,2011,45-50,0
5-646.y,2011,50-55,0
5-646.y,2011,55-60,0
5-646.y,2011,60 und älter,0
5-646.0,2012,Insgesamt,541
5-646.0,2012,unter 15,0
5-646.0,2012,15-20,15
5-646.0,2012,20-25,94
5-646.0,2012,25-30,110
5-646.0,2012,30-35,119
5-646.0,2012,35-40,69
5-646.0,2012,40-45,57
5-646.0,2012,45-50,49
5-646.0,2012,50-55,24
5-646.0,2012,55-60,3
5-646.0,2012,60 und älter,1
5-646.1,2012,Insgesamt,342
5-646.1,2012,unter 15,0
5-646.1,2012,15-20,10
5-646.1,2012,20-25,35
5-646.1,2012,25-30,42
5-646.1,2012,30-35,44
5-646.1,2012,35-40,29
5-646.1,2012,40-45,40
5-646.1,2012,45-50,66
5-646.1,2012,50-55,38
5-646.1,2012,55-60,18
5-646.1,2012,60 und älter,20
5-646.x,2012,Insgesamt,0
5-646.x,2012,unter 15,0
5-646.x,2012,15-20,0
5-646.x,2012,20-25,0
5-646.x,2012,25-30,0
5-646.x,2012,30-35,0
5-646.x,2012,35-40,0
5-646.x,2012,40-45,0
5-646.x,2012,45-50,0
5-646.x,2012,50-55,0
5-646.x,2012,55-60,0
5-646.x,2012,60 und älter,0
5-646.y,2012,Insgesamt,0
5-646.y,2012,unter 15,0
5-646.y,2012,15-20,0
5-646.y,2012,20-25,0
5-646.y,2012,25-30,0
5-646.y,2012,30-35,0
5-646.y,2012,35-40,0
5-646.y,2012,40-45,0
5-646.y,2012,45-50,0
5-646.y,2012,50-55,0
5-646.y,2012,55-60,0
5-646.y,2012,60 und älter,0
5-646.0,2013,Insgesamt,583
5-646.0,2013,unter 15,0
5-646.0,2013,15-20,13
5-646.0,2013,20-25,114
5-646.0,2013,25-30,121
5-646.0,2013,30-35,148
5-646.0,2013,35-40,77
5-646.0,2013,40-45,45
5-646.0,2013,45-50,44
5-646.0,2013,50-55,13
5-646.0,2013,55-60,4
5-646.0,2013,60 und älter,4
5-646.1,2013,Insgesamt,374
5-646.1,2013,unter 15,0
5-646.1,2013,15-20,10
5-646.1,2013,20-25,52
5-646.1,2013,25-30,45
5-646.1,2013,30-35,42
5-646.1,2013,35-40,42
5-646.1,2013,40-45,31
5-646.1,2013,45-50,68
5-646.1,2013,50-55,38
5-646.1,2013,55-60,24
5-646.1,2013,60 und älter,22
5-646.x,2013,Insgesamt,1
5-646.x,2013,unter 15,0
5-646.x,2013,15-20,0
5-646.x,2013,20-25,1
5-646.x,2013,25-30,0
5-646.x,2013,30-35,0
5-646.x,2013,35-40,0
5-646.x,2013,40-45,0
5-646.x,2013,45-50,0
5-646.x,2013,50-55,0
5-646.x,2013,55-60,0
5-646.x,2013,60 und älter,0
5-646.y,2013,Insgesamt,0
5-646.y,2013,unter 15,0
5-646.y,2013,15-20,0
5-646.y,2013,20-25,0
5-646.y,2013,25-30,0
5-646.y,2013,30-35,0
5-646.y,2013,35-40,0
5-646.y,2013,40-45,0
5-646.y,2013,45-50,0
5-646.y,2013,50-55,0
5-646.y,2013,55-60,0
5-646.y,2013,60 und älter,0
5-646.0,2014,Insgesamt,672
5-646.0,2014,unter 15,0
5-646.0,2014,15-20,14
5-646.0,2014,20-25,132
5-646.0,2014,25-30,148
5-646.0,2014,30-35,133
5-646.0,2014,35-40,88
5-646.0,2014,40-45,64
5-646.0,2014,45-50,59
5-646.0,2014,50-55,26
5-646.0,2014,55-60,8
5-646.0,2014,60 und älter,0
5-646.1,2014,Insgesamt,379
5-646.1,2014,unter 15,0
5-646.1,2014,15-20,8
5-646.1,2014,20-25,53
5-646.1,2014,25-30,41
5-646.1,2014,30-35,42
5-646.1,2014,35-40,44
5-646.1,2014,40-45,47
5-646.1,2014,45-50,67
5-646.1,2014,50-55,39
5-646.1,2014,55-60,26
5-646.1,2014,60 und älter,12
5-646.x,2014,Insgesamt,0
5-646.x,2014,unter 15,0
5-646.x,2014,15-20,0
5-646.x,2014,20-25,0
5-646.x,2014,25-30,0
