Alter,Zahl
16-Jährige,750057
17-Jährige,766249
18-Jährige,772950
19-Jährige,797706
20-Jährige,831435
21-Jährige,884287
22-Jährige,902991
23-Jährige,930132
24-Jährige,973682
25-Jährige,968595
26-Jährige,953757
27-Jährige,966208
28-Jährige,994633
29-Jährige,1009536
30-Jährige,1042411
31-Jährige,1134154
32-Jährige,1118705
33-Jährige,1141779
34-Jährige,1116555
35-Jährige,1094982
36-Jährige,1061333
37-Jährige,1053033
38-Jährige,1053223
39-Jährige,1072623
40-Jährige,1062573
41-Jährige,1066630
42-Jährige,1014635
43-Jährige,999583
44-Jährige,988878
45-Jährige,969960
46-Jährige,943804
47-Jährige,954234
48-Jährige,959948
49-Jährige,1036458
50-Jährige,1135710
51-Jährige,1174754
52-Jährige,1257877
53-Jährige,1313453
54-Jährige,1343318
55-Jährige,1374519
56-Jährige,1373938
57-Jährige,1394414
58-Jährige,1376677
59-Jährige,1327249
60-Jährige,1300524
61-Jährige,1250775
62-Jährige,1208290
63-Jährige,1134297
64-Jährige,1100158
65-Jährige,1061809
66-Jährige,1020393
67-Jährige,991948
68-Jährige,951916
69-Jährige,941864
70-Jährige,913046
71-Jährige,902997
72-Jährige,862165
73-Jährige,776134
74-Jährige,718950
Summe,61594894
