Bundesland,Altersgruppe,percentage_of_total
Hessen,60 bis unter 65 Jahre,1.28
Hessen,65 bis unter 70 Jahre,0
Hessen,70 bis unter 75 Jahre,0
Hessen,75 bis unter 80 Jahre,0
Hessen,80 bis unter 85 Jahre,0
Hessen,85 bis unter 90 Jahre,0
Hessen,90 bis unter 95 Jahre,0
Hessen,95 Jahre und älter,0
Hessen,Unter 1 Jahr,0
Mecklenburg-Vorpommern,1 Jahr bis unter 5 Jahre,0
Mecklenburg-Vorpommern,10 bis unter 15 Jahre,0
Mecklenburg-Vorpommern,15 bis unter 20 Jahre,0
Mecklenburg-Vorpommern,20 bis unter 25 Jahre,8.7
Mecklenburg-Vorpommern,25 bis unter 30 Jahre,21.74
Mecklenburg-Vorpommern,30 bis unter 35 Jahre,21.74
Mecklenburg-Vorpommern,35 bis unter 40 Jahre,13.04
Mecklenburg-Vorpommern,40 bis unter 45 Jahre,8.7
Mecklenburg-Vorpommern,45 bis unter 50 Jahre,17.39
Mecklenburg-Vorpommern,5 bis unter 10 Jahre,0
Mecklenburg-Vorpommern,50 bis unter 55 Jahre,8.7
Mecklenburg-Vorpommern,55 bis unter 60 Jahre,0
Mecklenburg-Vorpommern,60 bis unter 65 Jahre,0
Mecklenburg-Vorpommern,65 bis unter 70 Jahre,0
Mecklenburg-Vorpommern,70 bis unter 75 Jahre,0
Mecklenburg-Vorpommern,75 bis unter 80 Jahre,0
Mecklenburg-Vorpommern,80 bis unter 85 Jahre,0
Mecklenburg-Vorpommern,85 bis unter 90 Jahre,0
Mecklenburg-Vorpommern,90 bis unter 95 Jahre,0
Mecklenburg-Vorpommern,95 Jahre und älter,0
Mecklenburg-Vorpommern,Unter 1 Jahr,0
Niedersachsen,1 Jahr bis unter 5 Jahre,0
Niedersachsen,10 bis unter 15 Jahre,0
Niedersachsen,15 bis unter 20 Jahre,3.3
Niedersachsen,20 bis unter 25 Jahre,17.58
Niedersachsen,25 bis unter 30 Jahre,23.63
Niedersachsen,30 bis unter 35 Jahre,12.64
Niedersachsen,35 bis unter 40 Jahre,10.44
Niedersachsen,40 bis unter 45 Jahre,9.89
Niedersachsen,45 bis unter 50 Jahre,10.99
Niedersachsen,5 bis unter 10 Jahre,0
Niedersachsen,50 bis unter 55 Jahre,7.69
Niedersachsen,55 bis unter 60 Jahre,2.2
Niedersachsen,60 bis unter 65 Jahre,1.1
Niedersachsen,65 bis unter 70 Jahre,0.55
Niedersachsen,70 bis unter 75 Jahre,0
Niedersachsen,75 bis unter 80 Jahre,0
Niedersachsen,80 bis unter 85 Jahre,0
Niedersachsen,85 bis unter 90 Jahre,0
Niedersachsen,90 bis unter 95 Jahre,0
Niedersachsen,95 Jahre und älter,0
Niedersachsen,Unter 1 Jahr,0
Nordrhein-Westfalen,1 Jahr bis unter 5 Jahre,0
Nordrhein-Westfalen,10 bis unter 15 Jahre,0
Nordrhein-Westfalen,15 bis unter 20 Jahre,6.15
Nordrhein-Westfalen,20 bis unter 25 Jahre,17.14
Nordrhein-Westfalen,25 bis unter 30 Jahre,18.24
Nordrhein-Westfalen,30 bis unter 35 Jahre,14.07
Nordrhein-Westfalen,35 bis unter 40 Jahre,13.63
Nordrhein-Westfalen,40 bis unter 45 Jahre,10.11
Nordrhein-Westfalen,45 bis unter 50 Jahre,8.79
Nordrhein-Westfalen,5 bis unter 10 Jahre,0
Nordrhein-Westfalen,50 bis unter 55 Jahre,7.47
Nordrhein-Westfalen,55 bis unter 60 Jahre,3.08
Nordrhein-Westfalen,60 bis unter 65 Jahre,0.88
Nordrhein-Westfalen,65 bis unter 70 Jahre,0.44
Nordrhein-Westfalen,70 bis unter 75 Jahre,0
Nordrhein-Westfalen,75 bis unter 80 Jahre,0
Nordrhein-Westfalen,80 bis unter 85 Jahre,0
Nordrhein-Westfalen,85 bis unter 90 Jahre,0
Nordrhein-Westfalen,90 bis unter 95 Jahre,0
Nordrhein-Westfalen,95 Jahre und älter,0
Nordrhein-Westfalen,Unter 1 Jahr,0
Rheinland-Pfalz,1 Jahr bis unter 5 Jahre,0
Rheinland-Pfalz,10 bis unter 15 Jahre,0
Rheinland-Pfalz,15 bis unter 20 Jahre,5.19
Rheinland-Pfalz,20 bis unter 25 Jahre,14.29
Rheinland-Pfalz,25 bis unter 30 Jahre,25.97
Rheinland-Pfalz,30 bis unter 35 Jahre,16.88
Rheinland-Pfalz,35 bis unter 40 Jahre,10.39
Rheinland-Pfalz,40 bis unter 45 Jahre,10.39
Rheinland-Pfalz,45 bis unter 50 Jahre,7.79
Rheinland-Pfalz,5 bis unter 10 Jahre,0
Rheinland-Pfalz,50 bis unter 55 Jahre,5.19
Rheinland-Pfalz,55 bis unter 60 Jahre,2.6
Rheinland-Pfalz,60 bis unter 65 Jahre,1.3
Rheinland-Pfalz,65 bis unter 70 Jahre,0
Rheinland-Pfalz,70 bis unter 75 Jahre,0
Rheinland-Pfalz,75 bis unter 80 Jahre,0
Rheinland-Pfalz,80 bis unter 85 Jahre,0
Rheinland-Pfalz,85 bis unter 90 Jahre,0
Rheinland-Pfalz,90 bis unter 95 Jahre,0
Rheinland-Pfalz,95 Jahre und älter,0
Rheinland-Pfalz,Unter 1 Jahr,0
Saarland,1 Jahr bis unter 5 Jahre,0
Saarland,10 bis unter 15 Jahre,0
Saarland,15 bis unter 20 Jahre,8.7
Saarland,20 bis unter 25 Jahre,30.43
Saarland,25 bis unter 30 Jahre,21.74
Saarland,30 bis unter 35 Jahre,8.7
Saarland,35 bis unter 40 Jahre,8.7
Saarland,40 bis unter 45 Jahre,8.7
Saarland,45 bis unter 50 Jahre,8.7
Saarland,5 bis unter 10 Jahre,0
Saarland,50 bis unter 55 Jahre,4.35
Saarland,55 bis unter 60 Jahre,0
Saarland,60 bis unter 65 Jahre,0
Saarland,65 bis unter 70 Jahre,0
Saarland,70 bis unter 75 Jahre,0
Saarland,75 bis unter 80 Jahre,0
Saarland,80 bis unter 85 Jahre,0
Saarland,85 bis unter 90 Jahre,0
Saarland,90 bis unter 95 Jahre,0
Saarland,95 Jahre und älter,0
Saarland,Unter 1 Jahr,0
Sachsen,1 Jahr bis unter 5 Jahre,0
Sachsen,10 bis unter 15 Jahre,0
Sachsen,15 bis unter 20 Jahre,3.61
Sachsen,20 bis unter 25 Jahre,16.87
Sachsen,25 bis unter 30 Jahre,15.66
Sachsen,30 bis unter 35 Jahre,16.87
Sachsen,35 bis unter 40 Jahre,15.66
Sachsen,40 bis unter 45 Jahre,10.84
Sachsen,45 bis unter 50 Jahre,7.23
Sachsen,5 bis unter 10 Jahre,0
Sachsen,50 bis unter 55 Jahre,7.23
Sachsen,55 bis unter 60 Jahre,3.61
Sachsen,60 bis unter 65 Jahre,2.41
Sachsen,65 bis unter 70 Jahre,0
Sachsen,70 bis unter 75 Jahre,0
Sachsen,75 bis unter 80 Jahre,0
Sachsen,80 bis unter 85 Jahre,0
Sachsen,85 bis unter 90 Jahre,0
Sachsen,90 bis unter 95 Jahre,0
Sachsen,95 Jahre und älter,0
Sachsen,Unter 1 Jahr,0
Sachsen-Anhalt,1 Jahr bis unter 5 Jahre,0
Sachsen-Anhalt,10 bis unter 15 Jahre,0
Sachsen-Anhalt,15 bis unter 20 Jahre,0
Sachsen-Anhalt,20 bis unter 25 Jahre,23.53
Sachsen-Anhalt,25 bis unter 30 Jahre,17.65
Sachsen-Anhalt,30 bis unter 35 Jahre,11.76
Sachsen-Anhalt,35 bis unter 40 Jahre,11.76
Sachsen-Anhalt,40 bis unter 45 Jahre,11.76
Sachsen-Anhalt,45 bis unter 50 Jahre,11.76
Sachsen-Anhalt,5 bis unter 10 Jahre,0
Sachsen-Anhalt,50 bis unter 55 Jahre,11.76
Sachsen-Anhalt,55 bis unter 60 Jahre,0
Sachsen-Anhalt,60 bis unter 65 Jahre,0
Sachsen-Anhalt,65 bis unter 70 Jahre,0
Sachsen-Anhalt,70 bis unter 75 Jahre,0
Sachsen-Anhalt,75 bis unter 80 Jahre,0
Sachsen-Anhalt,80 bis unter 85 Jahre,0
Sachsen-Anhalt,85 bis unter 90 Jahre,0
Sachsen-Anhalt,90 bis unter 95 Jahre,0
Sachsen-Anhalt,95 Jahre und älter,0
Sachsen-Anhalt,Unter 1 Jahr,0
Schleswig-Holstein,1 Jahr bis unter 5 Jahre,0
Schleswig-Holstein,10 bis unter 15 Jahre,0
Schleswig-Holstein,15 bis unter 20 Jahre,4
Schleswig-Holstein,20 bis unter 25 Jahre,24
Schleswig-Holstein,25 bis unter 30 Jahre,12
Schleswig-Holstein,30 bis unter 35 Jahre,18
Schleswig-Holstein,35 bis unter 40 Jahre,10
Schleswig-Holstein,40 bis unter 45 Jahre,8
Schleswig-Holstein,45 bis unter 50 Jahre,10
Schleswig-Holstein,5 bis unter 10 Jahre,0
Schleswig-Holstein,50 bis unter 55 Jahre,10
Schleswig-Holstein,55 bis unter 60 Jahre,4
Schleswig-Holstein,60 bis unter 65 Jahre,0
