"Name","Addresse","Fallzahl F64","Bettananzahl","Stationäre Fälle insgesamt"
"Klinikum Bremerhaven Reinkenheide","Postbrookstraße 103
                                27574 Bremerhaven","Datenschutz","792","25,501"
"Kreiskrankenhaus Osterholz","Am Krankenhaus 4
                                27711 Osterholz-Scharmbeck","Datenschutz","128","7,061"
"Klinikum Bremen-Mitte gGmbH","St.-Jürgen-Str. 1
                                28205 Bremen","Datenschutz","877","35,557"
"Krankenhaus St.Joseph-Stift","Schwachhauser Heerstr. 54
                                28209 Bremen","Datenschutz","456","19,426"
"DIAKO Ev. Diakonie-Krankenhaus gGmbH","Gröpelinger Heerstr. 406
                                28239 Bremen","Datenschutz","388","16,195"
"Klinikum Bremen-Ost","Züricher Str. 40
                                28325 Bremen","Datenschutz","716","14,647"
"Klinikum Bremen-Nord","Hammersbeckerstr. 228
                                28755 Bremen","Datenschutz","415","16,014"
"Klinikum Region Hannover GmbH Klinikum Siloah","Stadionbrücke 4
                                30459 Hannover","Datenschutz","564","23,284"
"Medizinische Hochschule Hannover","Carl-Neuberg-Str. 1
                                30625 Hannover","8","1,520","53,004"
"Klinikum Hildesheim GmbH","Senator-Braun-Allee 33
                                31135 Hildesheim","9","579","24,896"
"Klinikum Region Hannover GmbH Krankenhaus Neustadt a. Rbg.","Lindenstr. 75
                                31535 Neustadt","Datenschutz","272","13,964"
"Sana-Klinikum Hameln-Pyrmont","Saint-Maur-Platz 1
                                31785 Hameln","6","402","18,413"
"Klinikum Herford","Schwarzenmoorstr. 70
                                32049 Herford","Datenschutz","755","26,565"
"Klinikum Lippe Bad Salzuflen","Heldmanstraße 45
                                32108 Bad Salzuflen","Datenschutz","88","467"
"Johannes Wesling Klinikum Minden","Hans-Nolte-Str. 1
                                32429 Minden","Datenschutz","864","36,564"
"St. Vincenz-Krankenhaus","Am Busdorf 2
                                33098 Paderborn","Datenschutz","587","31,073"
"Franziskus Hospital","Kiskerstraße 26
                                33615 Bielefeld","Datenschutz","616","11,370"
"Evangelisches Klinikum Bethel, Standort Gilead","Kantensiek 11
                                33617 Bielefeld","Datenschutz","1,040","28,099"
"Elisabeth Krankenhaus gGmbH","Weinbergstr. 7
                                34117 Kassel","7","198","9,855"
"Agaplesion Diakonie-Kliniken Kassel","Herkulesstr. 34
                                34119 Kassel","Datenschutz","316","16,343"
"Klinikum Kassel gGmbH","Mönchebergstr. 41-43
                                34125 Kassel","Datenschutz","1,061","48,540"
"Universitätsklinikum Giessen und Marburg - Standort Marburg","Baldingerstr.
                                35043 Marburg","Datenschutz","931","38,663"
